Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team,URL_Tournament
1989,Milan,Milan,1989.02.13,32,16,Indoor Carpet,"$492,500",Boris Becker,Jakob Hlasek John McEnroe,,https://www.atptour.com/en/scores/archive/milan/408/1989/results
1989,Memphis,Memphis,1989.02.13,48,24,Indoor Hard,"$415,000",Brad Gilbert,Paul Annacone Christo Van Rensburg,,https://www.atptour.com/en/scores/archive/memphis/402/1989/results
1989,Philadelphia,Philadelphia,1989.02.20,48,24,Indoor Carpet,"$602,500",Boris Becker,Paul Annacone Christo Van Rensburg,,https://www.atptour.com/en/scores/archive/philadelphia/401/1989/results
1989,Lyon,Lyon,1989.02.20,32,16,Indoor Carpet,"$291,000",John McEnroe,Eric Jelen Michael Mortensen,,https://www.atptour.com/en/scores/archive/lyon/7309/1989/results
1989,Nancy,Nancy,1989.02.27,32,16,Indoor Carpet,"$130,000",Guy Forget,Udo Riglewski Tobias Svantesson,,https://www.atptour.com/en/scores/archive/nancy/304/1989/results
1989,WCT Finals,Dallas,1989.02.28,8,0,Indoor Carpet,"$685,000",John McEnroe,,,https://www.atptour.com/en/scores/archive/dallas/610/1989/results
1989,Scottsdale,Scottsdale,1989.03.06,32,16,Outdoor Hard,"$415,000",Ivan Lendl,Rick Leach Jim Pugh,,https://www.atptour.com/en/scores/archive/scottsdale/433/1989/results
1989,Indian Wells,Indian Wells,1989.03.13,56,28,Outdoor Hard,"$702,500",Miloslav Mecir Sr.,Boris Becker Jakob Hlasek,,https://www.atptour.com/en/scores/archive/indian-wells/404/1989/results
1989,Key Biscayne,Key Biscayne,1989.03.20,128,64,Outdoor Hard,"$1,012,500",Ivan Lendl,Jakob Hlasek Anders Jarryd,,https://www.atptour.com/en/scores/archive/key-biscayne/403/1989/results
1989,Rio de Janeiro,Rio de Janeiro,1989.04.10,32,16,Outdoor Carpet,"$230,000",Luiz Mattar,Jorge Lozano Todd Witsken,,https://www.atptour.com/en/scores/archive/rio-de-janeiro/215/1989/results
1989,Athens,Athens,1989.04.10,32,16,Outdoor Clay,"$123,400",Ronald Agenor,Claudio Panatta Tomas Smid,,https://www.atptour.com/en/scores/archive/athens/367/1989/results
1989,Seoul,Seoul,1989.04.10,32,16,Outdoor Hard,"$123,400",Robert Van't Hof,Scott Davis Paul Wekesa,,https://www.atptour.com/en/scores/archive/seoul/434/1989/results
1989,Tokyo-1,Tokyo,1989.04.17,56,28,Outdoor Hard,"$627,500",Stefan Edberg,Ken Flach Robert Seguso,,https://www.atptour.com/en/scores/archive/tokyo/329/1989/results
1989,Nice,Nice,1989.04.17,32,16,Outdoor Clay,"$200,000",Andrei Chesnokov,Ricki Osterthun Udo Riglewski,,https://www.atptour.com/en/scores/archive/nice/6120/1989/results
1989,Monte Carlo,Monte Carlo,1989.04.24,48,24,Outdoor Clay,"$607,500",Alberto Mancini,Tomas Smid Mark Woodforde,,https://www.atptour.com/en/scores/archive/monte-carlo/410/1989/results
1989,Singapore,Singapore,1989.04.24,32,16,Outdoor Hard,"$123,400",Kelly Jones,Rick Leach Jim Pugh,,https://www.atptour.com/en/scores/archive/singapore/456/1989/results
1989,Forest Hills,Forest Hills,1989.05.01,56,28,Outdoor Clay,"$602,500",Ivan Lendl,Rick Leach Jim Pugh,,https://www.atptour.com/en/scores/archive/forest-hills/415/1989/results
1989,Munich,Munich,1989.05.01,48,24,Outdoor Clay,"$205,000",Andrei Chesnokov,Javier Sanchez Balazs Taroczy,,https://www.atptour.com/en/scores/archive/munich/308/1989/results
1989,Hamburg,Hamburg,1989.05.08,56,28,Outdoor Clay,"$692,500",Ivan Lendl,Emilio Sanchez Javier Sanchez,,https://www.atptour.com/en/scores/archive/hamburg/414/1989/results
1989,Charleston,Charleston,1989.05.08,32,16,Outdoor Clay,"$220,000",Jay Berger,Mikael Pernfors Tobias Svantesson,,https://www.atptour.com/en/scores/archive/charleston/717/1989/results
1989,Rome,Rome,1989.05.15,64,32,Outdoor Clay,"$1,000,000",Alberto Mancini,Jim Courier Pete Sampras,,https://www.atptour.com/en/scores/archive/rome/416/1989/results
1989,World Team Cup,Dusseldorf,1989.05.22,24,12,Outdoor Clay,"$1,500,000",Boris Becker,Boris Becker Heinz Gunthardt,,https://www.atptour.com/en/scores/archive/dusseldorf/615/1989/results
1989,Florence,Florence,1989.05.22,32,16,Outdoor Clay,"$123,400",Horacio de la Pena,Mike De Palmer Blaine Willenborg,,https://www.atptour.com/en/scores/archive/florence/310/1989/results
1989,Roland Garros,Paris,1989.05.29,128,64,Outdoor Clay,"$2,250,000",Michael Chang,Jim Grabb Patrick McEnroe,,https://www.atptour.com/en/scores/archive/roland-garros/520/1989/results
1989,London / Queen's Club,London,1989.06.12,64,32,Outdoor Grass,"$380,000",Ivan Lendl,Darren Cahill Mark Kratzmann,,https://www.atptour.com/en/scores/archive/london/311/1989/results
1989,Bologna,Bologna,1989.06.12,32,16,Outdoor Clay,"$123,400",Javier Sanchez,Sergio Casal Javier Sanchez,,https://www.atptour.com/en/scores/archive/bologna/312/1989/results
1989,Bristol,Bristol,1989.06.19,32,16,Outdoor Grass,"$130,000",Eric Jelen,Paul Chamberlin Tim Wilkison,,https://www.atptour.com/en/scores/archive/bristol/313/1989/results
1989,Bari,Bari,1989.06.19,32,16,Outdoor Clay,"$123,400",Juan Aguilera,Simone Colombo Claudio Mezzadri,,https://www.atptour.com/en/scores/archive/bari/306/1989/results
1989,Wimbledon,London,1989.06.26,128,64,Outdoor Grass,"$2,384,162",Boris Becker,John Fitzgerald Anders Jarryd,,https://www.atptour.com/en/scores/archive/wimbledon/540/1989/results
1989,Boston,Boston,1989.07.10,56,28,Outdoor Clay,"$415,000",Andres Gomez,Andres Gomez Alberto Mancini,,https://www.atptour.com/en/scores/archive/boston/417/1989/results
1989,Gstaad,Gstaad,1989.07.10,32,16,Outdoor Clay,"$305,000",Carl-Uwe Steeb,Cassio Motta Todd Witsken,,https://www.atptour.com/en/scores/archive/gstaad/314/1989/results
1989,Newport,Newport,1989.07.10,32,16,Outdoor Grass,"$155,000",Jim Pugh,Patrick Galbraith Brian Garrow,,https://www.atptour.com/en/scores/archive/newport/315/1989/results
1989,Schenectady,Schenectady,1989.07.17,32,16,Outdoor Hard,"$130,000",Simon Youl,Scott Davis Broderick Dyke,,https://www.atptour.com/en/scores/archive/schenectady/224/1989/results
1989,Washington,Washington,1989.07.24,56,28,Outdoor Hard,"$415,000",Tim Mayotte,Neil Broad Gary Muller,,https://www.atptour.com/en/scores/archive/washington/418/1989/results
1989,Stuttgart,Stuttgart,1989.07.24,48,24,Outdoor Clay,"$350,000",Martin Jaite,Petr Korda Tomas Smid,,https://www.atptour.com/en/scores/archive/stuttgart/321/1989/results
1989,Hilversum,Hilversum,1989.07.24,32,16,Outdoor Clay,"$180,000",Karel Novacek,,,https://www.atptour.com/en/scores/archive/hilversum/317/1989/results
1989,Stratton Mountain,Stratton Mountain,1989.07.31,64,32,Outdoor Hard,"$602,500",Brad Gilbert,Mark Kratzmann Wally Masur,,https://www.atptour.com/en/scores/archive/stratton-mountain/420/1989/results
1989,Kitzbuhel,Kitzbuhel,1989.07.31,64,32,Outdoor Clay,"$350,000",Emilio Sanchez,Emilio Sanchez Javier Sanchez,,https://www.atptour.com/en/scores/archive/kitzbuhel/319/1989/results
1989,Bastad,Bastad,1989.07.31,32,16,Outdoor Clay,"$305,000",Paolo Cane,Per Henricsson Nicklas Utgren,,https://www.atptour.com/en/scores/archive/bastad/316/1989/results
1989,Indianapolis,Indianapolis,1989.08.07,56,28,Outdoor Hard,"$417,500",John McEnroe,Pieter Aldrich Danie Visser,,https://www.atptour.com/en/scores/archive/indianapolis/419/1989/results
1989,Prague,Prague,1989.08.07,32,16,Outdoor Clay,"$170,000",Marcelo Filippini,Jordi Arrese Horst Skoff,,https://www.atptour.com/en/scores/archive/prague/379/1989/results
1989,Livingston,Livingston,1989.08.07,32,16,Outdoor Hard,"$123,400",Brad Gilbert,Tim Pawsat Tim Wilkison,,https://www.atptour.com/en/scores/archive/livingston/318/1989/results
1989,Montreal,Montreal,1989.08.14,56,28,Outdoor Hard,"$742,500",Ivan Lendl,Kelly Evernden Todd Witsken,,https://www.atptour.com/en/scores/archive/montreal/421/1989/results
1989,Cincinnati,Cincinnati,1989.08.14,64,32,Outdoor Hard,"$602,500",Brad Gilbert,Ken Flach Robert Seguso,,https://www.atptour.com/en/scores/archive/cincinnati/422/1989/results
1989,St. Vincent,St. Vincent,1989.08.14,32,16,Outdoor Clay,"$155,000",Franco Davin,Josef Cihak Cyril Suk,,https://www.atptour.com/en/scores/archive/st-vincent/366/1989/results
1989,San Marino,San Marino,1989.08.21,32,16,Outdoor Clay,"$123,400",Jose Francisco Altur,Simone Colombo Claudio Mezzadri,,https://www.atptour.com/en/scores/archive/san-marino/475/1989/results
