,year,name,identifier ,url
96793,1989,Los Angeles,1989-Los Angeles,https://www.atptour.com/en/scores/archive/los-angeles/423/1989/results
96824,1989,San Francisco,1989-San Francisco,https://www.atptour.com/en/scores/archive/san-francisco/424/1989/results
96855,1989,Bordeaux,1989-Bordeaux,https://www.atptour.com/en/scores/archive/bordeaux/323/1989/results
96886,1989,Palermo,1989-Palermo,https://www.atptour.com/en/scores/archive/palermo/325/1989/results
96917,1989,Orlando,1989-Orlando,https://www.atptour.com/en/scores/archive/orlando/409/1989/results
96948,1989,Brisbane,1989-Brisbane,https://www.atptour.com/en/scores/archive/brisbane/326/1989/results
96979,1989,Basel,1989-Basel,https://www.atptour.com/en/scores/archive/basel/328/1989/results
97010,1989,Sydney-2,1989-Sydney-2,https://www.atptour.com/en/scores/archive/sydney/427/1989/results
97041,1989,Toulouse,1989-Toulouse,https://www.atptour.com/en/scores/archive/toulouse/327/1989/results
97072,1989,Vienna,1989-Vienna,https://www.atptour.com/en/scores/archive/vienna/337/1989/results
97103,1989,Tel Aviv,1989-Tel Aviv,https://www.atptour.com/en/scores/archive/tel-aviv/330/1989/results
97134,1989,Tokyo-2,1989-Tokyo-2,https://www.atptour.com/en/scores/archive/tokyo/428/1989/results
97165,1989,Frankfurt,1989-Frankfurt,https://www.atptour.com/en/scores/archive/frankfurt/348/1989/results
97196,1989,Paris,1989-Paris,https://www.atptour.com/en/scores/archive/paris/352/1989/results
97227,1989,Stockholm,1989-Stockholm,https://www.atptour.com/en/scores/archive/stockholm/429/1989/results
97274,1989,Sao Paulo,1989-Sao Paulo,https://www.atptour.com/en/scores/archive/sao-paulo/237/1989/results
97305,1989,Wembley,1989-Wembley,https://www.atptour.com/en/scores/archive/wembley/430/1989/results
97336,1989,Johannesburg,1989-Johannesburg,https://www.atptour.com/en/scores/archive/johannesburg/426/1989/results
97367,1989,Itaparica,1989-Itaparica,https://www.atptour.com/en/scores/archive/itaparica/240/1989/results
97398,1989,Masters,1989-Masters,https://www.atptour.com/en/scores/archive/masters/605/1989/results
97413,1989,Masters Doubles,1989-Masters Doubles,https://www.atptour.com/en/scores/archive/masters-doubles/602/1989/results
97414,1990,Adelaide,1990-Adelaide,https://www.atptour.com/en/scores/archive/adelaide/7308/1990/results
97445,1990,Wellington,1990-Wellington,https://www.atptour.com/en/scores/archive/wellington/354/1990/results
97476,1990,Sydney-1,1990-Sydney-1,https://www.atptour.com/en/scores/archive/sydney/338/1990/results
97507,1990,Auckland,1990-Auckland,https://www.atptour.com/en/scores/archive/auckland/301/1990/results
97538,1990,Australian Open,1990-Australian Open,https://www.atptour.com/en/scores/archive/australian-open/580/1990/results
97665,1990,Milan,1990-Milan,https://www.atptour.com/en/scores/archive/milan/408/1990/results
97696,1990,San Francisco,1990-San Francisco,https://www.atptour.com/en/scores/archive/san-francisco/424/1990/results
97727,1990,Guaruja,1990-Guaruja,https://www.atptour.com/en/scores/archive/guaruja/201/1990/results
97758,1990,Toronto-1,1990-Toronto-1,https://www.atptour.com/en/scores/archive/toronto/302/1990/results
97813,1990,Brussels,1990-Brussels,https://www.atptour.com/en/scores/archive/brussels/406/1990/results
97844,1990,Philadelphia,1990-Philadelphia,https://www.atptour.com/en/scores/archive/philadelphia/401/1990/results
97891,1990,Stuttgart-1,1990-Stuttgart-1,https://www.atptour.com/en/scores/archive/stuttgart/357/1990/results
97922,1990,Rotterdam,1990-Rotterdam,https://www.atptour.com/en/scores/archive/rotterdam/407/1990/results
97953,1990,Memphis,1990-Memphis,https://www.atptour.com/en/scores/archive/memphis/402/1990/results
98000,1990,ATP Masters 1000 Indian Wells,1990-ATP Masters 1000 Indian Wells,https://www.atptour.com/en/scores/archive/indian-wells/404/1990/results
98055,1990,Casablanca,1990-Casablanca,https://www.atptour.com/en/scores/archive/casablanca/360/1990/results
98086,1990,ATP Masters 1000 Miami,1990-ATP Masters 1000 Miami,https://www.atptour.com/en/scores/archive/miami/403/1990/results
98181,1990,Estoril,1990-Estoril,https://www.atptour.com/en/scores/archive/estoril/468/1990/results
98212,1990,Orlando,1990-Orlando,https://www.atptour.com/en/scores/archive/orlando/409/1990/results
98243,1990,Rio de Janeiro,1990-Rio de Janeiro,https://www.atptour.com/en/scores/archive/rio-de-janeiro/215/1990/results
98274,1990,Tokyo-1,1990-Tokyo-1,https://www.atptour.com/en/scores/archive/tokyo/329/1990/results
98329,1990,Barcelona,1990-Barcelona,https://www.atptour.com/en/scores/archive/barcelona/425/1990/results
98384,1990,Nice,1990-Nice,https://www.atptour.com/en/scores/archive/nice/6120/1990/results
98415,1990,Seoul,1990-Seoul,https://www.atptour.com/en/scores/archive/seoul/434/1990/results
98446,1990,ATP Masters 1000 Monte Carlo,1990-ATP Masters 1000 Monte Carlo,https://www.atptour.com/en/scores/archive/monte-carlo/410/1990/results
98501,1990,Hong Kong,1990-Hong Kong,https://www.atptour.com/en/scores/archive/hong-kong/336/1990/results
98532,1990,Madrid,1990-Madrid,https://www.atptour.com/en/scores/archive/madrid/309/1990/results
98563,1990,Munich,1990-Munich,https://www.atptour.com/en/scores/archive/munich/308/1990/results
98594,1990,Singapore,1990-Singapore,https://www.atptour.com/en/scores/archive/singapore/456/1990/results
98625,1990,ATP Masters 1000 Hamburg,1990-ATP Masters 1000 Hamburg,https://www.atptour.com/en/scores/archive/hamburg/414/1990/results
98680,1990,Kiawah Island,1990-Kiawah Island,https://www.atptour.com/en/scores/archive/kiawah-island/717/1990/results
98711,1990,ATP Masters 1000 Rome,1990-ATP Masters 1000 Rome,https://www.atptour.com/en/scores/archive/rome/416/1990/results
98774,1990,Umag,1990-Umag,https://www.atptour.com/en/scores/archive/umag/439/1990/results
98805,1990,World Team Cup,1990-World Team Cup,https://www.atptour.com/en/scores/archive/dusseldorf/615/1990/results
98831,1990,Bologna,1990-Bologna,https://www.atptour.com/en/scores/archive/bologna/312/1990/results
98862,1990,Roland Garros,1990-Roland Garros,https://www.atptour.com/en/scores/archive/roland-garros/520/1990/results
98989,1990,London / Queen's Club,1990-London / Queen's Club,https://www.atptour.com/en/scores/archive/london/311/1990/results
99044,1990,Florence,1990-Florence,https://www.atptour.com/en/scores/archive/florence/310/1990/results
99075,1990,Rosmalen,1990-Rosmalen,https://www.atptour.com/en/scores/archive/rosmalen/440/1990/results
99106,1990,Genoa,1990-Genoa,https://www.atptour.com/en/scores/archive/genoa/306/1990/results
99137,1990,Manchester,1990-Manchester,https://www.atptour.com/en/scores/archive/manchester/7310/1990/results
99168,1990,Wimbledon,1990-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1990/results
99295,1990,Gstaad,1990-Gstaad,https://www.atptour.com/en/scores/archive/gstaad/314/1990/results
99326,1990,Bastad,1990-Bastad,https://www.atptour.com/en/scores/archive/bastad/316/1990/results
99357,1990,Newport,1990-Newport,https://www.atptour.com/en/scores/archive/newport/315/1990/results
99388,1990,Stuttgart-2,1990-Stuttgart-2,https://www.atptour.com/en/scores/archive/stuttgart/321/1990/results
99435,1990,Washington,1990-Washington,https://www.atptour.com/en/scores/archive/washington/418/1990/results
99490,1990,ATP Masters 1000 Canada,1990-ATP Masters 1000 Canada,https://www.atptour.com/en/scores/archive/toronto/421/1990/results
99545,1990,Hilversum,1990-Hilversum,https://www.atptour.com/en/scores/archive/hilversum/317/1990/results
99576,1990,Kitzbuhel,1990-Kitzbuhel,https://www.atptour.com/en/scores/archive/kitzbuhel/319/1990/results
99623,1990,Los Angeles,1990-Los Angeles,https://www.atptour.com/en/scores/archive/los-angeles/423/1990/results
99654,1990,San Remo,1990-San Remo,https://www.atptour.com/en/scores/archive/san-remo/366/1990/results
99685,1990,ATP Masters 1000 Cincinnati,1990-ATP Masters 1000 Cincinnati,https://www.atptour.com/en/scores/archive/cincinnati/422/1990/results
99740,1990,Prague,1990-Prague,https://www.atptour.com/en/scores/archive/prague/379/1990/results
99771,1990,Indianapolis,1990-Indianapolis,https://www.atptour.com/en/scores/archive/indianapolis/419/1990/results
99826,1990,New Haven,1990-New Haven,https://www.atptour.com/en/scores/archive/new-haven/420/1990/results
99881,1990,Long Island,1990-Long Island,https://www.atptour.com/en/scores/archive/long-island/441/1990/results
99908,1990,San Marino,1990-San Marino,https://www.atptour.com/en/scores/archive/san-marino/475/1990/results
99939,1990,Schenectady,1990-Schenectady,https://www.atptour.com/en/scores/archive/schenectady/224/1990/results
99966,1990,US Open,1990-US Open,https://www.atptour.com/en/scores/archive/us-open/560/1990/results
100093,1990,Bordeaux,1990-Bordeaux,https://www.atptour.com/en/scores/archive/bordeaux/323/1990/results
100124,1990,Geneva,1990-Geneva,https://www.atptour.com/en/scores/archive/geneva/322/1990/results
100155,1990,Basel,1990-Basel,https://www.atptour.com/en/scores/archive/basel/328/1990/results
100186,1990,Palermo,1990-Palermo,https://www.atptour.com/en/scores/archive/palermo/325/1990/results
100217,1990,Brisbane,1990-Brisbane,https://www.atptour.com/en/scores/archive/brisbane/326/1990/results
100248,1990,Sydney-2,1990-Sydney-2,https://www.atptour.com/en/scores/archive/sydney/427/1990/results
100295,1990,Toulouse,1990-Toulouse,https://www.atptour.com/en/scores/archive/toulouse/327/1990/results
100326,1990,Athens,1990-Athens,https://www.atptour.com/en/scores/archive/athens/367/1990/results
100357,1990,Tokyo-2,1990-Tokyo-2,https://www.atptour.com/en/scores/archive/tokyo/428/1990/results
100404,1990,Berlin,1990-Berlin,https://www.atptour.com/en/scores/archive/berlin/348/1990/results
100435,1990,Tel Aviv,1990-Tel Aviv,https://www.atptour.com/en/scores/archive/tel-aviv/330/1990/results
100466,1990,Lyon,1990-Lyon,https://www.atptour.com/en/scores/archive/lyon/7309/1990/results
100497,1990,Vienna,1990-Vienna,https://www.atptour.com/en/scores/archive/vienna/337/1990/results
100528,1990,ATP Masters 1000 Stockholm,1990-ATP Masters 1000 Stockholm,https://www.atptour.com/en/scores/archive/stockholm/429/1990/results
100575,1990,Sao Paulo,1990-Sao Paulo,https://www.atptour.com/en/scores/archive/sao-paulo/237/1990/results
100606,1990,ATP Masters 1000 Paris,1990-ATP Masters 1000 Paris,https://www.atptour.com/en/scores/archive/paris/352/1990/results
100653,1990,Moscow,1990-Moscow,https://www.atptour.com/en/scores/archive/moscow/438/1990/results
100684,1990,Wembley,1990-Wembley,https://www.atptour.com/en/scores/archive/wembley/430/1990/results
100715,1990,Itaparica,1990-Itaparica,https://www.atptour.com/en/scores/archive/itaparica/240/1990/results
100746,1990,ATP Tour World Championship,1990-ATP Tour World Championship,https://www.atptour.com/en/scores/archive/atp-tour-world-championship/605/1990/results
100761,1990,ATP Tour World Doubles Championship,1990-ATP Tour World Doubles Championship,https://www.atptour.com/en/scores/archive/atp-tour-world-doubles-championship/602/1990/results
100762,1990,Grand Slam Cup,1990-Grand Slam Cup,https://www.atptour.com/en/scores/archive/munich/604/1990/results
100777,1991,Adelaide,1991-Adelaide,https://www.atptour.com/en/scores/archive/adelaide/7308/1991/results
100808,1991,Wellington,1991-Wellington,https://www.atptour.com/en/scores/archive/wellington/354/1991/results
100839,1991,Sydney-1,1991-Sydney-1,https://www.atptour.com/en/scores/archive/sydney/338/1991/results
100870,1991,Auckland,1991-Auckland,https://www.atptour.com/en/scores/archive/auckland/301/1991/results
100901,1991,Australian Open,1991-Australian Open,https://www.atptour.com/en/scores/archive/australian-open/580/1991/results
101028,1991,Milan,1991-Milan,https://www.atptour.com/en/scores/archive/milan/408/1991/results
101059,1991,San Francisco,1991-San Francisco,https://www.atptour.com/en/scores/archive/san-francisco/424/1991/results
101090,1991,Guaruja-1,1991-Guaruja-1,https://www.atptour.com/en/scores/archive/guaruja/201/1991/results
101121,1991,Philadelphia,1991-Philadelphia,https://www.atptour.com/en/scores/archive/philadelphia/401/1991/results
101168,1991,Brussels,1991-Brussels,https://www.atptour.com/en/scores/archive/brussels/406/1991/results
