player_name,player_url
G. Hinckley,https://www.atptour.com/en/players/g.-hinckley/hf70/overview
E. Crowninshield,https://www.atptour.com/en/players/e.-crowninshield/cm22/overview
E. Fischer,https://www.atptour.com/en/players/e.-fischer/fb52/overview
S. Henshaw,https://www.atptour.com/en/players/s.-henshaw/hf26/overview
J. Jones,https://www.atptour.com/en/players/j.-jones/j669/overview
S.L. Smith,https://www.atptour.com/en/players/s.l.-smith/sw84/overview
J. Terry,https://www.atptour.com/en/players/j.-terry/tf83/overview
L. Ware,https://www.atptour.com/en/players/l.-ware/wa40/overview
E. Archibald Thomson,https://www.atptour.com/en/players/e.-archibald-thomson/af51/overview
M. Baker,https://www.atptour.com/en/players/m.-baker/bq73/overview
H. Bartow,https://www.atptour.com/en/players/h.-bartow/bs81/overview
W. Brown,https://www.atptour.com/en/players/w.-brown/bq11/overview
H. Clews,https://www.atptour.com/en/players/h.-clews/cm18/overview
J. Davidson,https://www.atptour.com/en/players/j.-davidson/dg21/overview
C. Gould,https://www.atptour.com/en/players/c.-gould/gi82/overview
S. Griffin,https://www.atptour.com/en/players/s.-griffin/gi83/overview
S. Millett,https://www.atptour.com/en/players/s.-millett/mt93/overview
Richard Palmer,https://www.atptour.com/en/players/richard-palmer/pk35/overview
C. Walz,https://www.atptour.com/en/players/c.-walz/wa47/overview
J. Wear,https://www.atptour.com/en/players/j.-wear/wa46/overview
A. Willston,https://www.atptour.com/en/players/a.-willston/wa50/overview
Frank Riseley,https://www.atptour.com/en/players/frank-riseley/rf78/overview
E. Roy Allen,https://www.atptour.com/en/players/e.-roy-allen/af48/overview
C. Allen,https://www.atptour.com/en/players/c.-allen/af49/overview
W. Castle,https://www.atptour.com/en/players/w.-castle/cm28/overview
A. Riseley,https://www.atptour.com/en/players/a.-riseley/rg62/overview
G. Sheldon,https://www.atptour.com/en/players/g.-sheldon/sw88/overview
Malcolm Whitman,https://www.atptour.com/en/players/malcolm-whitman/w955/overview
George Wrenn,https://www.atptour.com/en/players/george-wrenn/w936/overview
R. Carleton,https://www.atptour.com/en/players/r.-carleton/cm15/overview
J. Parmly Paret,https://www.atptour.com/en/players/j.-parmly-paret/pl06/overview
Holcombe Ward,https://www.atptour.com/en/players/holcombe-ward/w954/overview
E. Wrenn,https://www.atptour.com/en/players/e.-wrenn/wa45/overview
Laurence Doherty,https://www.atptour.com/en/players/laurence-doherty/dg02/overview
George Greville,https://www.atptour.com/en/players/george-greville/gh62/overview
G. Milne,https://www.atptour.com/en/players/g.-milne/mu38/overview
Alfred Taylor,https://www.atptour.com/en/players/alfred-taylor/tf65/overview
J. Forbes,https://www.atptour.com/en/players/j.-forbes/fb74/overview
H. Holt,https://www.atptour.com/en/players/h.-holt/hf88/overview
J. Neely,https://www.atptour.com/en/players/j.-neely/n883/overview
Beals Wright,https://www.atptour.com/en/players/beals-wright/w950/overview
Major Josiah George Ritchie,https://www.atptour.com/en/players/major-josiah-george-ritchie/rf58/overview
David Hawes,https://www.atptour.com/en/players/david-hawes/hf81/overview
Robert Hough,https://www.atptour.com/en/players/robert-hough/hd17/overview
F.W. Payn,https://www.atptour.com/en/players/f.w.-payn/pk79/overview
P.G. Pearson,https://www.atptour.com/en/players/p.g.-pearson/pl05/overview
Herbert Roper-Barrett,https://www.atptour.com/en/players/herbert-roper-barrett/rf72/overview
M. White,https://www.atptour.com/en/players/m.-white/w929/overview
Allan Pearson,https://www.atptour.com/en/players/allan-pearson/pk78/overview
E. Stanley,https://www.atptour.com/en/players/e.-stanley/sw81/overview
Dwight Davis,https://www.atptour.com/en/players/dwight-davis/dg20/overview
W. Bond,https://www.atptour.com/en/players/w.-bond/bs73/overview
H. Ewer,https://www.atptour.com/en/players/h.-ewer/e976/overview
Harold Hackett,https://www.atptour.com/en/players/harold-hackett/hf24/overview
S. Ware,https://www.atptour.com/en/players/s.-ware/wa43/overview
George Caridia,https://www.atptour.com/en/players/george-caridia/cl16/overview
James Crispe,https://www.atptour.com/en/players/james-crispe/cm11/overview
M. Day,https://www.atptour.com/en/players/m.-day/dg18/overview
Kreigh Collins,https://www.atptour.com/en/players/kreigh-collins/cm02/overview
H. Avery,https://www.atptour.com/en/players/h.-avery/af46/overview
C. Beard,https://www.atptour.com/en/players/c.-beard/bs74/overview
Wylie Grant,https://www.atptour.com/en/players/wylie-grant/gi57/overview
N. Mundy,https://www.atptour.com/en/players/n.-mundy/mu42/overview
J. Taylor,https://www.atptour.com/en/players/j.-taylor/tf34/overview
Roderick McNair,https://www.atptour.com/en/players/roderick-mcnair/mt10/overview
Frederick Plaskitt,https://www.atptour.com/en/players/frederick-plaskitt/pk77/overview
S. Baddeley,https://www.atptour.com/en/players/s.-baddeley/bs21/overview
Charles Dixon,https://www.atptour.com/en/players/charles-dixon/de92/overview
G.E. Evered,https://www.atptour.com/en/players/g.e.-evered/e981/overview
G.L. Orme,https://www.atptour.com/en/players/g.l.-orme/o622/overview
Ernest Black,https://www.atptour.com/en/players/ernest-black/bs72/overview
Fred Alexander,https://www.atptour.com/en/players/fred-alexander/af02/overview
J. Allen,https://www.atptour.com/en/players/j.-allen/af04/overview
