Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team 
2008,Barcelona,Barcelona,2008.04.28,56,24,Outdoor Clay,"€824,000",Rafael Nadal,Bob Bryan Mike Bryan,
2008,Munich,Munich,2008.04.28,32,16,Outdoor Clay,"€370,000",Fernando Gonzalez,Michael Berrer Rainer Schuettler,
2008,ATP Masters 1000 Rome,Rome,2008.05.05,56,24,Outdoor Clay,"€2,270,000",Novak Djokovic,Bob Bryan Mike Bryan,
2008,ATP Masters 1000 Hamburg,Hamburg,2008.05.11,56,24,Outdoor Clay,"€2,270,000",Rafael Nadal,Daniel Nestor Nenad Zimonjic,
2008,World Team Cup,Dusseldorf,2008.05.18,32,16,Outdoor Clay,"€1,692,000",Igor Andreev,Robert Lindstedt Robin Soderling,
2008,Casablanca,Casablanca,2008.05.18,32,16,Outdoor Clay,"€370,000",Gilles Simon,Albert Montanes Santiago Ventura,
2008,Portschach,Portschach,2008.05.18,32,16,Outdoor Clay,"€370,000",Nikolay Davydenko,Marcelo Melo Andre Sa,
2008,Roland Garros,Paris,2008.05.25,128,64,Outdoor Clay,"€7,077,680",Rafael Nadal,Pablo Cuevas Luis Horna,
2008,Halle,Halle,2008.06.09,32,16,Outdoor Grass,"€713,000",Roger Federer,Mikhail Youzhny Mischa Zverev,
2008,London / Queen's Club,London,2008.06.09,56,24,Outdoor Grass,"€713,000",Rafael Nadal,Daniel Nestor Nenad Zimonjic,
2008,Warsaw,Warsaw,2008.06.09,32,16,Outdoor Clay,"€425,000",Nikolay Davydenko,Mariusz Fyrstenberg Marcin Matkowski,
2008,'s-Hertogenbosch,'s-Hertogenbosch,2008.06.15,32,16,Outdoor Grass,"€370,000",David Ferrer,Mario Ancic Jurgen Melzer,
2008,Nottingham,Nottingham,2008.06.16,32,16,Outdoor Grass,"€370,000",Ivo Karlovic,Bruno Soares Kevin Ullyett,
2008,Wimbledon,London,2008.06.23,128,64,Outdoor Grass,"£5,257,000",Rafael Nadal,Daniel Nestor Nenad Zimonjic,
2008,Stuttgart,Stuttgart,2008.07.07,28,16,Outdoor Clay,"€568,000",Juan Martin del Potro,Christopher Kas Philipp Kohlschreiber,
2008,Gstaad,Gstaad,2008.07.07,28,16,Outdoor Clay,"€389,000",Victor Hanescu,Jaroslav Levinsky Filip Polasek,
2008,Newport,Newport,2008.07.07,28,16,Outdoor Grass,"$385,000",Fabrice Santoro,Mardy Fish John Isner,
2008,Bastad,Bastad,2008.07.07,28,16,Outdoor Clay,"€326,000",Tommy Robredo,Jonas Bjorkman Robin Soderling,
2008,Kitzbuhel,Kitzbuhel,2008.07.14,32,16,Outdoor Clay,"€571,000",Juan Martin del Potro,Jamie Cerretani Victor Hanescu,
2008,Indianapolis,Indianapolis,2008.07.14,32,16,Outdoor Hard,"$525,000",Gilles Simon,Ashley Fisher Tripp Phillips,
2008,Amersfoort,Amersfoort,2008.07.14,28,16,Outdoor Clay,"€326,000",Albert Montanes,Frantisek Cermak Rogier Wassen,
2008,Umag,Umag,2008.07.14,28,16,Outdoor Clay,"€326,000",Fernando Verdasco,Michal Mertinak Petr Pala,
2008,ATP Masters 1000 Canada,Toronto,2008.07.21,56,24,Outdoor Hard,"$2,615,000",Rafael Nadal,Daniel Nestor Nenad Zimonjic,
2008,ATP Masters 1000 Cincinnati,Cincinnati,2008.07.28,56,24,Outdoor Hard,"$2,615,000",Andy Murray,Bob Bryan Mike Bryan,
2008,Los Angeles,Los Angeles,2008.08.04,28,16,Outdoor Hard,"$475,000",Juan Martin del Potro,Rohan Bopanna Eric Butorac,
2008,Washington,Washington,2008.08.10,32,16,Outdoor Hard,"$508,000",Juan Martin del Potro,Marc Gicquel Robert Lindstedt,
2008,Beijing Olympics,Beijing,2008.08.11,64,32,Outdoor Hard,,Rafael Nadal,Roger Federer Stan Wawrinka,
2008,New Haven,New Haven,2008.08.17,48,16,Outdoor Hard,"$708,000",Marin Cilic,Marcelo Melo Andre Sa,
2008,US Open,New York,2008.08.25,128,64,Outdoor Hard,"$9,350,000",Roger Federer,Bob Bryan Mike Bryan,
2008,Bucharest,Bucharest,2008.09.08,32,16,Outdoor Clay,"€370,000",Gilles Simon,Nicolas Devilder Paul-Henri Mathieu,
2008,Bangkok,Bangkok,2008.09.22,28,16,Indoor Hard,"$576,000",Jo-Wilfried Tsonga,Lukas Dlouhy Leander Paes,
2008,Beijing,Beijing,2008.09.22,28,16,Outdoor Hard,"$524,000",Andy Roddick,Stephen Huss Ross Hutchins,
2008,Tokyo,Tokyo,2008.09.29,48,16,Outdoor Hard,"$869,000",Tomas Berdych,Mikhail Youzhny Mischa Zverev,
2008,Metz,Metz,2008.09.29,32,16,Indoor Hard,"€370,000",Dmitry Tursunov,Arnaud Clement Michael Llodra,
2008,Moscow,Moscow,2008.10.06,32,16,Indoor Hard,"$1,049,000",Igor Kunitsyn,Potito Starace Sergiy Stakhovsky,
2008,Stockholm,Stockholm,2008.10.06,32,16,Indoor Hard,"€713,000",David Nalbandian,Jonas Bjorkman Kevin Ullyett,
2008,Vienna,Vienna,2008.10.06,32,16,Indoor Hard,"€674,000",Philipp Petzschner,Max Mirnyi Andy Ram,
2008,ATP Masters 1000 Madrid,Madrid,2008.10.12,48,24,Indoor Hard,"€2,270,000",Andy Murray,Mariusz Fyrstenberg Marcin Matkowski,
2008,St. Petersburg,St. Petersburg,2008.10.20,32,16,Indoor Hard,"$1,049,000",Andy Murray,Travis Parrott Filip Polasek,
2008,Basel,Basel,2008.10.20,32,16,Indoor Hard,"€891,000",Roger Federer,Mahesh Bhupathi Mark Knowles,
2008,Lyon,Lyon,2008.10.20,32,16,Indoor Carpet,"€713,000",Robin Soderling,Michael Llodra Andy Ram,
2008,ATP Masters 1000 Paris,Paris,2008.10.26,48,24,Indoor Hard,"€2,270,000",Jo-Wilfried Tsonga,Jonas Bjorkman Kevin Ullyett,
2008,Tennis Masters Cup,,2008.11.09,8,8,Indoor Hard,"$3,800,000",Novak Djokovic,Daniel Nestor Nenad Zimonjic,
2009,Brisbane,Brisbane,2009.01.04,32,16,Outdoor Hard,"$484,750",Radek Stepanek,Marc Gicquel Jo-Wilfried Tsonga,
2009,Doha,Doha,2009.01.05,32,16,Outdoor Hard,"$1,110,250",Andy Murray,Marc Lopez Rafael Nadal,
2009,Chennai,Chennai,2009.01.05,32,16,Outdoor Hard,"$450,000",Marin Cilic,Eric Butorac Rajeev Ram,
2009,Sydney,Sydney,2009.01.12,28,16,Outdoor Hard,"$484,750",David Nalbandian,Bob Bryan Mike Bryan,
2009,Auckland,Auckland,2009.01.12,28,16,Outdoor Hard,"$480,750",Juan Martin del Potro,Martin Damm Robert Lindstedt,
2009,Australian Open,Melbourne,2009.01.19,128,64,Outdoor Hard,"A$10,712,240",Rafael Nadal,Bob Bryan Mike Bryan,
2009,Johannesburg,Johannesburg,2009.02.02,32,16,Outdoor Hard,"$500,000",Jo-Wilfried Tsonga,Jamie Cerretani Dick Norman,
2009,Vina del Mar,Vina Del Mar,2009.02.02,28,16,Outdoor Clay,"$496,750",Fernando Gonzalez,Pablo Cuevas Brian Dabul,
2009,Zagreb,Zagreb,2009.02.02,32,16,Indoor Hard,"€450,000",Marin Cilic,Martin Damm Robert Lindstedt,
2009,Rotterdam,Rotterdam,2009.02.09,32,16,Indoor Hard,"€1,445,000",Andy Murray,Daniel Nestor Nenad Zimonjic,
2009,San Jose,San Jose,2009.02.09,32,16,Indoor Hard,"$600,000",Radek Stepanek,Tommy Haas Radek Stepanek,
2009,Costa do Sauipe,Costa do Sauipe,2009.02.09,32,16,Outdoor Clay,"$562,500",Tommy Robredo,Marcel Granollers Tommy Robredo,
2009,Memphis,Memphis,2009.02.16,32,16,Indoor Hard,"$1,226,500",Andy Roddick,Mardy Fish Mark Knowles,
2009,Buenos Aires,Buenos Aires,2009.02.16,32,16,Outdoor Clay,"$600,000",Tommy Robredo,Marcel Granollers Alberto Martin,
2009,Marseille,Marseille,2009.02.16,32,16,Indoor Hard,"€576,000",Jo-Wilfried Tsonga,Arnaud Clement Michael Llodra,
2009,Dubai,Dubai,2009.02.23,32,16,Outdoor Hard,"$2,233,000",Novak Djokovic,Rik De Voest Dmitry Tursunov,
2009,Acapulco,"Acapulco, Mexico",2009.02.23,32,16,Outdoor Clay,"$1,226,500",Nicolas Almagro,Frantisek Cermak Michal Mertinak,
2009,Delray Beach,Delray Beach,2009.02.23,32,16,Outdoor Hard,"$500,000",Mardy Fish,Bob Bryan Mike Bryan,
2009,ATP Masters 1000 Indian Wells,Indian Wells,2009.03.12,96,32,Outdoor Hard,"$4,615,170",Rafael Nadal,Mardy Fish Andy Roddick,
2009,ATP Masters 1000 Miami,Miami,2009.03.25,96,32,Outdoor Hard,"$4,500,000",Andy Murray,Max Mirnyi Andy Ram,
2009,Houston,Houston,2009.04.06,32,16,Outdoor Clay,"$500,000",Lleyton Hewitt,Bob Bryan Mike Bryan,
2009,Casablanca,Casablanca,2009.04.06,32,16,Outdoor Clay,"€450,000",Juan Carlos Ferrero,Lukasz Kubot Oliver Marach,
2009,ATP Masters 1000 Monte Carlo,Monte Carlo,2009.04.12,56,24,Outdoor Clay,"€2,750,000",Rafael Nadal,Daniel Nestor Nenad Zimonjic,
2009,Barcelona,Barcelona,2009.04.20,56,24,Outdoor Clay,"€1,995,000",Rafael Nadal,Daniel Nestor Nenad Zimonjic,
2009,ATP Masters 1000 Rome,Rome,2009.04.27,56,24,Outdoor Clay,"€2,750,000",Rafael Nadal,Daniel Nestor Nenad Zimonjic,
2009,Estoril,Estoril,2009.05.03,32,16,Outdoor Clay,"€450,000",Albert Montanes,Eric Butorac Scott Lipsky,
2009,Munich,Munich,2009.05.03,32,16,Outdoor Clay,"€450,000",Tomas Berdych,Jan Hernych Ivo Minar,
2009,Belgrade,Belgrade,2009.05.04,28,16,Outdoor Clay,"€450,000",Novak Djokovic,Lukasz Kubot Oliver Marach,
2009,ATP Masters 1000 Madrid,Madrid,2009.05.10,56,24,Outdoor Clay,"€3,700,000",Roger Federer,Daniel Nestor Nenad Zimonjic,
2009,World Team Cup,Dusseldorf,2009.05.17,32,16,Outdoor Clay,"€1,366,000",Viktor Troicki,Nicolas Kiefer Mischa Zverev,
2009,Kitzbuhel,Kitzbuhel,2009.05.17,32,16,Outdoor Clay,"€450,000",Guillermo Garcia-Lopez,Marcelo Melo Andre Sa,
2009,Roland Garros,Paris,2009.05.25,128,64,Outdoor Clay,"€7,322,320",Roger Federer,Lukas Dlouhy Leander Paes,
2009,Halle,Halle,2009.06.08,32,16,Outdoor Grass,"€750,000",Tommy Haas,Christopher Kas Philipp Kohlschreiber,
2009,London / Queen's Club,London,2009.06.08,56,24,Outdoor Grass,"€750,000",Andy Murray,Wesley Moodie Mikhail Youzhny,
2009,Eastbourne,Eastbourne,2009.06.14,32,16,Outdoor Grass,"€450,000",Dmitry Tursunov,Mariusz Fyrstenberg Marcin Matkowski,
2009,'s-Hertogenbosch,'s-Hertogenbosch,2009.06.14,32,16,Outdoor Grass,"€450,000",Benjamin Becker,Wesley Moodie Dick Norman,
2009,Wimbledon,London,2009.06.22,128,64,Outdoor Grass,"£5,616,600",Roger Federer,Daniel Nestor Nenad Zimonjic,
2009,Newport,Newport,2009.07.06,32,16,Outdoor Grass,"$500,000",Rajeev Ram,Jordan Kerr Rajeev Ram,
2009,Bastad,Bastad,2009.07.13,28,16,Outdoor Clay,"€450,000",Robin Soderling,Jaroslav Levinsky Filip Polasek,
2009,Stuttgart,Stuttgart,2009.07.13,32,16,Outdoor Clay,"€450,000",Jeremy Chardy,Frantisek Cermak Michal Mertinak,
2009,Hamburg,Hamburg,2009.07.19,48,16,Outdoor Clay,"€1,115,000",Nikolay Davydenko,Simon Aspelin Paul Hanley,
2009,Indianapolis,Indianapolis,2009.07.19,32,16,Outdoor Hard,"$519,000",Robby Ginepri,Ernests Gulbis Dmitry Tursunov,
2009,Gstaad,Gstaad,2009.07.26,32,16,Outdoor Clay,"€450,000",Thomaz Bellucci,Marco Chiudinelli Michael Lammer,
2009,Los Angeles,Los Angeles,2009.07.27,28,16,Outdoor Hard,"$630,500",Sam Querrey,Bob Bryan Mike Bryan,
2009,Umag,Umag,2009.07.27,32,16,Outdoor Clay,"€450,000",Nikolay Davydenko,Frantisek Cermak Michal Mertinak,
2009,Washington,Washington,2009.08.02,48,16,Outdoor Hard,"$1,402,000",Juan Martin del Potro,Martin Damm Robert Lindstedt,
2009,ATP Masters 1000 Canada,Montreal,2009.08.10,56,24,Outdoor Hard,"$3,000,000",Andy Murray,Mahesh Bhupathi Mark Knowles,
2009,ATP Masters 1000 Cincinnati,Cincinnati,2009.08.16,56,24,Outdoor Hard,"$3,000,000",Roger Federer,Daniel Nestor Nenad Zimonjic,
2009,New Haven,New Haven,2009.08.23,48,16,Outdoor Hard,"$750,000",Fernando Verdasco,Julian Knowle Jurgen Melzer,
2009,US Open,New York,2009.08.31,128,64,Outdoor Hard,"$9,756,000",Juan Martin del Potro,Lukas Dlouhy Leander Paes,
2009,Bucharest,"Bucharest, Romania",2009.09.21,32,16,Outdoor Clay,"€450,000",Albert Montanes,Frantisek Cermak Michal Mertinak,
2009,Metz,Metz,2009.09.21,28,16,Indoor Hard,"€450,000",Gael Monfils,Colin Fleming Ken Skupski,
2009,Kuala Lumpur,Kuala Lumpur,2009.09.28,28,16,Indoor Hard,"$947,750",Nikolay Davydenko,Mariusz Fyrstenberg Marcin Matkowski,
2009,Bangkok,Bangkok,2009.09.28,28,16,Indoor Hard,"$608,500",Gilles Simon,Eric Butorac Rajeev Ram,
2009,Beijing,Beijing,2009.10.05,32,16,Outdoor Hard,"$3,337,000",Novak Djokovic,Bob Bryan Mike Bryan,
2009,Tokyo,Tokyo,2009.10.05,32,16,Outdoor Hard,"$1,226,500",Jo-Wilfried Tsonga,Julian Knowle Jurgen Melzer,
2009,ATP Masters 1000 Shanghai,"Shanghai, China",2009.10.11,56,24,Outdoor Hard,"$5,250,000",Nikolay Davydenko,Julien Benneteau Jo-Wilfried Tsonga,
2009,Moscow,Moscow,2009.10.19,32,16,Indoor Hard,"$1,080,500",Mikhail Youzhny,Pablo Cuevas Marcel Granollers,
2009,Stockholm,Stockholm,2009.10.19,32,16,Indoor Hard,"€600,000",Marcos Baghdatis,Bruno Soares Kevin Ullyett,
2009,St. Petersburg,St. Petersburg,2009.10.25,32,16,Indoor Hard,"$750,000",Sergiy Stakhovsky,Colin Fleming Ken Skupski,
2009,Lyon,Lyon,2009.10.26,32,16,Indoor Hard,"€650,000",Ivan Ljubicic,Julien Benneteau Nicolas Mahut,
2009,Vienna,Vienna,2009.10.26,32,16,Indoor Hard,"€574,750",Jurgen Melzer,Lukasz Kubot Oliver Marach,
2009,Valencia,Valencia,2009.11.02,32,16,Indoor Hard,"€2,019,000",Andy Murray,Frantisek Cermak Michal Mertinak,
2009,Basel,Basel,2009.11.02,32,16,Indoor Hard,"€1,755,000",Novak Djokovic,Daniel Nestor Nenad Zimonjic,
2009,ATP Masters 1000 Paris,Paris,2009.11.08,48,24,Indoor Hard,"€2,750,000",Novak Djokovic,Daniel Nestor Nenad Zimonjic,
2009,ATP Finals,,2009.11.22,8,8,Indoor Hard,"$5,000,000",Nikolay Davydenko,Bob Bryan Mike Bryan,
2010,Brisbane,Brisbane,2010.01.03,32,16,Outdoor Hard,"$424,250",Andy Roddick,Jeremy Chardy Marc Gicquel,
2010,Doha,Doha,2010.01.04,32,16,Outdoor Hard,"$1,110,250",Nikolay Davydenko,Guillermo Garcia-Lopez Albert Montanes,
2010,Chennai,Chennai,2010.01.04,32,16,Outdoor Hard,"$450,000",Marin Cilic,Marcel Granollers Santiago Ventura,
2010,Sydney,Sydney,2010.01.11,28,16,Outdoor Hard,"$424,250",Marcos Baghdatis,Daniel Nestor Nenad Zimonjic,
2010,Auckland,Auckland,2010.01.11,28,16,Outdoor Hard,"$407,250",John Isner,Marcus Daniell Horia Tecau,
2010,Australian Open,Melbourne,2010.01.18,128,64,Outdoor Hard,"A$11,048,640",Roger Federer,Bob Bryan Mike Bryan,
2010,Johannesburg,Johannesburg,2010.02.01,32,16,Outdoor Hard,"$500,000",Feliciano Lopez,Rohan Bopanna Aisam-Ul-Haq Qureshi,
2010,Santiago,Santiago,2010.02.01,32,16,Outdoor Clay,"$450,000",Thomaz Bellucci,Lukasz Kubot Oliver Marach,
2010,Zagreb,Zagreb,2010.02.01,32,16,Indoor Hard,"€450,000",Marin Cilic,Jurgen Melzer Philipp Petzschner,
2010,Rotterdam,Rotterdam,2010.02.08,32,16,Indoor Hard,"€1,445,000",Robin Soderling,Daniel Nestor Nenad Zimonjic,
2010,San Jose,San Jose,2010.02.08,32,16,Indoor Hard,"$600,000",Fernando Verdasco,Mardy Fish Sam Querrey,
2010,Costa do Sauipe,Costa do Sauipe,2010.02.08,32,16,Outdoor Clay,"$500,000",Juan Carlos Ferrero,Pablo Cuevas Marcel Granollers,
2010,Memphis,Memphis,2010.02.15,32,16,Indoor Hard,"$1,226,500",Sam Querrey,John Isner Sam Querrey,
2010,Marseille,"Marseille, France",2010.02.15,28,16,Indoor Hard,"€576,000",Michael Llodra,Julien Benneteau Michael Llodra,
2010,Buenos Aires,Buenos Aires,2010.02.15,32,16,Outdoor Clay,"$544,300",Juan Carlos Ferrero,Sebastian Prieto Horacio Zeballos,
2010,Dubai,"Dubai, United Arab Emirates",2010.02.22,32,16,Outdoor Hard,"$2,233,000",Novak Djokovic,Simon Aspelin Paul Hanley,
2010,Acapulco,"Acapulco, Mexico",2010.02.22,32,16,Outdoor Clay,"$1,081,500",David Ferrer,Lukasz Kubot Oliver Marach,
2010,Delray Beach,Delray Beach,2010.02.22,32,16,Outdoor Hard,"$500,000",Ernests Gulbis,Bob Bryan Mike Bryan,
2010,ATP Masters 1000 Indian Wells,Indian Wells,2010.03.11,96,32,Outdoor Hard,"$4,702,285",Ivan Ljubicic,Marc Lopez Rafael Nadal,
2010,ATP Masters 1000 Miami,Miami,2010.03.24,96,32,Outdoor Hard,"$4,500,000",Andy Roddick,Lukas Dlouhy Leander Paes,
2010,Houston,"Houston, United States",2010.04.05,28,16,Outdoor Clay,"$500,000",Juan Ignacio Chela,Bob Bryan Mike Bryan,
2010,Casablanca,Casablanca,2010.04.05,28,16,Outdoor Clay,"€450,000",Stan Wawrinka,Robert Lindstedt Horia Tecau,
2010,ATP Masters 1000 Monte Carlo,Monte Carlo,2010.04.11,56,24,Outdoor Clay,"€2,750,000",Rafael Nadal,Daniel Nestor Nenad Zimonjic,
2010,Barcelona,Barcelona,2010.04.19,56,24,Outdoor Clay,"€1,995,000",Fernando Verdasco,Daniel Nestor Nenad Zimonjic,
2010,ATP Masters 1000 Rome,Rome,2010.04.25,56,24,Outdoor Clay,"€2,750,000",Rafael Nadal,Bob Bryan Mike Bryan,
2010,Munich,"Munich, Germany",2010.05.02,32,16,Outdoor Clay,"€450,000",Mikhail Youzhny,Oliver Marach Santiago Ventura,
2010,Estoril,Estoril,2010.05.03,28,16,Outdoor Clay,"€450,000",Albert Montanes,Marc Lopez David Marrero,
2010,Belgrade,Belgrade,2010.05.03,28,16,Outdoor Clay,"€424,950",Sam Querrey,Santiago Gonzalez Travis Rettenmaier,
2010,ATP Masters 1000 Madrid,"Madrid, Spain",2010.05.09,56,24,Outdoor Clay,"€3,700,000",Rafael Nadal,Bob Bryan Mike Bryan,
2010,World Team Cup,Dusseldorf,2010.05.16,32,16,Outdoor Clay,"€1,350,000",Horacio Zeballos,Bob Bryan Mike Bryan,
2010,Nice,"Nice, France",2010.05.16,28,16,Outdoor Clay,"€450,000",Richard Gasquet,Marcelo Melo Bruno Soares,
2010,Roland Garros,"Paris, France",2010.05.24,128,64,Outdoor Clay,"€7,580,800",Rafael Nadal,Daniel Nestor Nenad Zimonjic,
2010,Halle,"Halle, Germany",2010.06.07,32,16,Outdoor Grass,"€750,000",Lleyton Hewitt,Sergiy Stakhovsky Mikhail Youzhny,
2010,London / Queen's Club,"London, Great Britain",2010.06.07,56,24,Outdoor Grass,"€713,950",Sam Querrey,Novak Djokovic Jonathan Erlich,
2010,Eastbourne,"Eastbourne, Great Britain",2010.06.13,32,16,Outdoor Grass,"€456,750",Michael Llodra,Mariusz Fyrstenberg Marcin Matkowski,
2010,'s-Hertogenbosch,"'s-Hertogenbosch, Netherlands",2010.06.13,28,16,Outdoor Grass,"€450,000",Sergiy Stakhovsky,Robert Lindstedt Horia Tecau,
2010,Wimbledon,"London, Great Britain",2010.06.21,128,64,Outdoor Grass,"£6,196,000",Rafael Nadal,Jurgen Melzer Philipp Petzschner,
2010,Newport,"Newport, United States",2010.07.05,32,16,Outdoor Grass,"$500,000",Mardy Fish,Carsten Ball Chris Guccione,
2010,Bastad,"Bastad, Sweden",2010.07.12,28,16,Outdoor Clay,"€450,000",Nicolas Almagro,Robert Lindstedt Horia Tecau,
2010,Stuttgart,"Stuttgart, Germany",2010.07.12,28,16,Outdoor Clay,"€450,000",Albert Montanes,Carlos Berlocq Eduardo Schwank,
2010,Hamburg,"Hamburg, Germany",2010.07.19,48,16,Outdoor Clay,"€1,115,000",Andrey Golubev,Marc Lopez David Marrero,
2010,Atlanta,"Atlanta, United States",2010.07.19,28,16,Outdoor Hard,"$600,000",Mardy Fish,Scott Lipsky Rajeev Ram,
2010,Gstaad,"Gstaad, Switzerland",2010.07.25,32,16,Outdoor Clay,"€450,000",Nicolas Almagro,Johan Brunstrom Jarkko Nieminen,
2010,Los Angeles,"Los Angeles, United States",2010.07.26,28,16,Outdoor Hard,"$700,000",Sam Querrey,Bob Bryan Mike Bryan,
2010,Umag,"Umag, Croatia",2010.07.26,28,16,Outdoor Clay,"€450,000",Juan Carlos Ferrero,Leos Friedl Filip Polasek,
2010,Washington,"Washington, United States",2010.08.01,48,16,Outdoor Hard,"$1,402,000",David Nalbandian,Mardy Fish Mark Knowles,
2010,ATP Masters 1000 Canada,"Toronto, Canada",2010.08.09,56,24,Outdoor Hard,"$3,000,000",Andy Murray,Bob Bryan Mike Bryan,
2010,ATP Masters 1000 Cincinnati,"Cincinnati, United States",2010.08.15,56,24,Outdoor Hard,"$3,000,000",Roger Federer,Bob Bryan Mike Bryan,
2010,New Haven,New Haven,2010.08.22,48,16,Outdoor Hard,"$750,000",Sergiy Stakhovsky,Robert Lindstedt Horia Tecau,
2010,US Open,New York,2010.08.30,128,64,Outdoor Hard,"$10,508,000",Rafael Nadal,Bob Bryan Mike Bryan,
2010,Metz,Metz,2010.09.20,28,16,Indoor Hard,"€450,000",Gilles Simon,Dustin Brown Rogier Wassen,
2010,Bucharest,Bucharest,2010.09.20,28,16,Outdoor Clay,"€420,200",Juan Ignacio Chela,Juan Ignacio Chela Lukasz Kubot,
2010,Kuala Lumpur,Kuala Lumpur,2010.09.27,28,16,Indoor Hard,"$947,750",Mikhail Youzhny,Frantisek Cermak Michal Mertinak,
2010,Bangkok,Bangkok,2010.09.27,28,16,Indoor Hard,"$608,500",Guillermo Garcia-Lopez,Christopher Kas Viktor Troicki,
2010,Beijing,"Beijing, China",2010.10.04,32,16,Outdoor Hard,"$3,336,500",Novak Djokovic,Bob Bryan Mike Bryan,
2010,Tokyo,Tokyo,2010.10.04,32,16,Outdoor Hard,"$1,226,500",Rafael Nadal,Eric Butorac Jean-Julien Rojer,
2010,ATP Masters 1000 Shanghai,"Shanghai, China",2010.10.10,56,24,Outdoor Hard,"$5,250,000",Andy Murray,Jurgen Melzer Leander Paes,
2010,Moscow,"Moscow, Russia",2010.10.18,28,16,Indoor Hard,"$1,080,500",Viktor Troicki,Igor Kunitsyn Dmitry Tursunov,
2010,Stockholm,Stockholm,2010.10.18,28,16,Indoor Hard,"€600,000",Roger Federer,Eric Butorac Jean-Julien Rojer,
2010,St. Petersburg,"St. Petersburg, Russia",2010.10.25,32,16,Indoor Hard,"$750,000",Mikhail Kukushkin,Daniele Bracciali Potito Starace,
2010,Montpellier,"Montpellier, France",2010.10.25,28,16,Indoor Hard,"€650,000",Gael Monfils,Stephen Huss Ross Hutchins,
2010,Vienna,"Vienna, Austria",2010.10.25,28,16,Indoor Hard,"€650,000",Jurgen Melzer,Daniel Nestor Nenad Zimonjic,
2010,Valencia,"Valencia, Switzerland",2010.10.31,32,16,Indoor Hard,"€2,019,000",David Ferrer,Andy Murray Jamie Murray,
2010,Basel,"Basel, Switzerland",2010.11.01,32,16,Indoor Hard,"€1,755,000",Roger Federer,Bob Bryan Mike Bryan,
2010,ATP Masters 1000 Paris,"Paris, France",2010.11.07,48,24,Indoor Hard,"€2,750,000",Robin Soderling,Mahesh Bhupathi Max Mirnyi,
2010,ATP Finals,,2010.11.21,8,8,Indoor Hard,"$5,070,000",Roger Federer,Daniel Nestor Nenad Zimonjic,
2011,Brisbane,"Brisbane, Australia",2011.01.02,32,16,Outdoor Hard,"$474,050",Robin Soderling,Lukas Dlouhy Paul Hanley,
2011,Doha,"Doha, Qatar",2011.01.03,32,16,Outdoor Hard,"$1,110,250",Roger Federer,Marc Lopez Rafael Nadal,
2011,Chennai,"Chennai, India",2011.01.03,32,16,Outdoor Hard,"$450,000",Stan Wawrinka,Mahesh Bhupathi Leander Paes,
2011,Sydney,"Sydney, Australia",2011.01.10,28,16,Outdoor Hard,"$474,050",Gilles Simon,Lukas Dlouhy Paul Hanley,
2011,Auckland,"Auckland, New Zealand",2011.01.10,28,16,Outdoor Hard,"$450,000",David Ferrer,Marcel Granollers Tommy Robredo,
2011,Australian Open,"Melbourne, Australia",2011.01.17,128,64,Outdoor Hard,"A$11,414,950",Novak Djokovic,Bob Bryan Mike Bryan,
2011,Johannesburg,"Johannesburg, South Africa",2011.01.31,32,16,Outdoor Hard,"$500,000",Kevin Anderson,Jamie Cerretani Adil Shamasdin,
2011,Santiago,"Santiago, Chile",2011.01.31,32,16,Outdoor Clay,"$450,000",Tommy Robredo,Marcelo Melo Bruno Soares,
2011,Zagreb,"Zagreb, Croatia",2011.01.31,28,16,Indoor Hard,"€450,000",Ivan Dodig,Dick Norman Horia Tecau,
2011,Rotterdam,"Rotterdam, Netherlands",2011.02.07,32,16,Indoor Hard,"€1,445,000",Robin Soderling,Jurgen Melzer Philipp Petzschner,
2011,San Jose,"San Jose, United States",2011.02.07,32,16,Indoor Hard,"$600,000",Milos Raonic,Scott Lipsky Rajeev Ram,
2011,Costa do Sauipe,"Costa do Sauipe, Brazil",2011.02.07,28,16,Outdoor Clay,"$527,700",Nicolas Almagro,Marcelo Melo Bruno Soares,
2011,Memphis,"Memphis, United States",2011.02.14,32,16,Indoor Hard,"$1,226,500",Andy Roddick,Max Mirnyi Daniel Nestor,
2011,Marseille,"Marseille, France",2011.02.14,28,16,Indoor Hard,"€576,000",Robin Soderling,Robin Haase Ken Skupski,
2011,Buenos Aires,"Buenos Aires, Argentina",2011.02.14,32,16,Outdoor Clay,"$547,900",Nicolas Almagro,Oliver Marach Leonardo Mayer,
2011,Dubai,"Dubai, United Arab Emirates",2011.02.21,32,16,Outdoor Hard,"$2,233,000",Novak Djokovic,Sergiy Stakhovsky Mikhail Youzhny,
2011,Acapulco,"Acapulco, Mexico",2011.02.21,32,16,Outdoor Clay,"$1,226,500",David Ferrer,Victor Hanescu Horia Tecau,
2011,Delray Beach,"Delray Beach, United States",2011.02.21,32,16,Outdoor Hard,"$442,500",Juan Martin del Potro,Scott Lipsky Rajeev Ram,
2011,ATP Masters 1000 Indian Wells,"Indian Wells, United States",2011.03.10,96,32,Outdoor Hard,"$4,717,540",Novak Djokovic,Alexandr Dolgopolov Xavier Malisse,
2011,ATP Masters 1000 Miami,"Miami, United States",2011.03.23,96,32,Outdoor Hard,"$4,500,000",Novak Djokovic,Mahesh Bhupathi Leander Paes,
