Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team
1948,Australian Championships,"Melbourne, Australia",1948.01.17,64,0,Outdoor Grass,,Adrian Quist,,
1948,French Championships,"Paris, France",1948.05.19,128,0,Outdoor Clay,,Frank Parker,,
1948,Wimbledon,"London, Great Britain",1948.06.21,128,0,Outdoor Grass,,Robert Falkenburg,,
1948,US Championships,"New York, United States",1948.09.10,128,0,Outdoor Grass,,Richard Pancho Gonzales,,
1949,Australian Championships,"Adelaide, Australia",1949.01.22,32,0,Outdoor Grass,,Frank Sedgman,,
1949,French Championships,"Paris, France",1949.05.19,128,0,Outdoor Clay,,Frank Parker,,
1949,Wimbledon,"London, Great Britain",1949.06.20,128,0,Outdoor Grass,,"Frederick ""Ted"" Schroeder",,
1949,US Championships,"New York, United States",1949.08.26,64,0,Outdoor Grass,,Richard Pancho Gonzales,,
1950,Australian Championships,"Adelaide, Australia",1950.01.21,64,0,Outdoor Grass,,Frank Sedgman,,
1950,French Championships,"Paris, France",1950.05.19,128,0,Outdoor Clay,,Budge Patty,,
1950,Wimbledon,"London, Great Britain",1950.06.26,128,0,Outdoor Grass,,Budge Patty,,
1950,US Championships,"New York, United States",1950.08.25,64,0,Outdoor Grass,,Arthur Larsen,,
1951,Australian Championships,"Sydney, Australia",1951.01.20,32,0,Outdoor Grass,,Dick Savitt,,
1951,French Championships,"Paris, France",1951.05.22,128,0,Outdoor Clay,,Jaroslav Drobny,,
1951,Wimbledon,"London, Great Britain",1951.06.25,128,0,Outdoor Grass,,Dick Savitt,,
1951,US Championships,"New York, United States",1951.08.25,128,0,Outdoor Grass,,Frank Sedgman,,
1952,Australian Championships,"Adelaide, Australia",1952.01.19,64,0,Outdoor Grass,,Ken McGregor,,
1952,French Championships,"Paris, France",1952.05.20,128,0,Outdoor Clay,,Jaroslav Drobny,,
1952,Wimbledon,"London, Great Britain",1952.06.23,128,0,Outdoor Grass,,Frank Sedgman,,
1952,US Championships,"New York, United States",1952.08.29,128,0,Outdoor Grass,,Frank Sedgman,,
1953,Australian Championships,"Melbourne, Australia",1953.01.09,32,0,Outdoor Grass,,Ken Rosewall,,
1953,French Championships,"Paris, France",1953.05.23,128,0,Outdoor Clay,,Ken Rosewall,,
1953,Wimbledon,"London, Great Britain",1953.06.22,128,0,Outdoor Grass,,E. Victor Seixas,,
1953,US Championships,"New York, United States",1953.08.29,128,0,Outdoor Grass,,Tony Trabert,,
1954,Australian Championships,"Sydney, Australia",1954.01.22,32,0,Outdoor Grass,,Mervyn Rose,,
1954,French Championships,"Paris, France",1954.05.18,128,0,Outdoor Clay,,Tony Trabert,,
1954,Wimbledon,"London, Great Britain",1954.06.21,128,0,Outdoor Grass,,Jaroslav Drobny,,
1954,US Championships,"New York, United States",1954.08.28,128,0,Outdoor Grass,,E. Victor Seixas,,
1955,Australian Championships,"Adelaide, Australia",1955.01.21,64,0,Outdoor Grass,,Ken Rosewall,,
1955,French Championships,"Paris, France",1955.05.24,128,0,Outdoor Clay,,Tony Trabert,,
1955,Wimbledon,"London, Great Britain",1955.06.20,128,0,Outdoor Grass,,Tony Trabert,,
1955,US Championships,"New York, United States",1955.09.02,128,0,Outdoor Grass,,Tony Trabert,,
1956,Australian Championships,"Brisbane, Australia",1956.01.20,32,0,Outdoor Grass,,Lew Hoad,,
