Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team,Tournament url
1977,,Tokyo,"Tokyo, Japan",1977.10.31,64,32,Outdoor Clay,"$100,000",Manuel Orantes,Geoff Masters Kim Warwick,
1977,,Cologne,"Cologne, Germany",1977.10.31,32,16,Indoor Hard,"$50,000",Bjorn Borg,Bob Hewitt Frew McMillan,
1977,,Paris-2,"Paris, France",1977.10.31,32,16,Indoor Hard,"$50,000",Corrado Barazzutti,Brian Gottfried Raul Ramirez,
1977,,Stockholm,"Stockholm, Sweden",1977.11.07,64,32,Indoor Hard,"$150,000",Sandy Mayer,Wojtek Fibak Tom Okker,
1977,,Hong Kong,"Hong Kong, Hong Kong",1977.11.07,32,16,Outdoor Hard,"$75,000",Ken Rosewall,Syd Ball Kim Warwick,
1977,,Bogota,"Bogota, Colombia",1977.11.07,32,16,Indoor Clay,"$50,000",Guillermo Vilas,Hans Gildemeister Belus Prajoux,
1977,,WCT Challenge Cup,"Las Vegas, United States",1977.11.14,8,0,Indoor Carpet,"$320,000",Jimmy Connors,,
1977,,Manila,"Manila, Philippines",1977.11.14,32,16,Indoor Clay,"$75,000",Karl Meiler,Chris Kachel John Marks,
1977,,Santiago,"Santiago, Chile",1977.11.14,32,16,Outdoor Clay,"$50,000",Guillermo Vilas,Patricio Cornejo Jaime Fillol Sr.,
1977,,Wembley,"Wembley, Great Britain",1977.11.15,32,16,Indoor Carpet,"$125,000",Bjorn Borg,Sandy Mayer Frew McMillan,
1977,,Oviedo,"Oviedo, Spain",1977.11.21,64,32,Indoor Carpet,"$100,000",Eddie Dibbs,Fred McNair IV Sherwood Stewart,
1977,,Buenos Aires-2,"Buenos Aires, Argentina",1977.11.21,32,16,Outdoor Clay,"$75,000",Guillermo Vilas,Ion Tiriac Guillermo Vilas,
1977,,Taipei,"Taipei, Chinese Taipei",1977.11.21,32,16,Indoor Carpet,"$50,000",Tim Gullikson,Pat Dupre Christofer Delaney,
1977,,Johannesburg-2,"Johannesburg, South Africa",1977.11.28,32,16,Outdoor Hard,"$150,000",Guillermo Vilas,Robert Lutz Stan Smith,
1977,,Bombay,"Bombay, India",1977.11.28,32,16,Outdoor Clay,"$50,000",Vijay Amritraj,Mike Cahill Terry Moor,
1977,,Adelaide-2,"Adelaide, Australia",1977.12.05,64,32,Outdoor Grass,"$100,000",Tim Gullikson,Syd Ball Kim Warwick,
1977,,Sydney-2,"Sydney, Australia",1977.12.12,64,32,Outdoor Grass,"$175,000",Roscoe Tanner,John Alexander Phil Dent,
1977,grandslam,Australian Open-2,"Melbourne, Australia",1977.12.19,64,32,Outdoor Grass,"$200,000",Vitas Gerulaitis,Ray Ruffels Allan Stone,
1977,finals,Masters,"New York, United States",1978.01.04,8,4,Indoor Carpet,"$400,000",Jimmy Connors,,
1977,finals,Masters Doubles,"New York, United States",1978.01.04,0,4,Indoor Carpet,"$400,000",,Bob Hewitt Frew McMillan,
